company_name;type;website;description;category/sector;fuzzy_score;organization_number;scb_company_name;co_address;post_address;post_code;post_city;municipality_code;municipality;county_code;county;num_workplaces;employee_size_code;employee_size;company_status_code;company_status;legal_form_code;legal_form;start_date;registration_date;industry_1_code;industry_1;industry_2_code;industry_2;revenue_year;revenue_size_code;revenue_size;phone;email;employer_status_code;employer_status;vat_status_code;vat_status;export_import;Unnamed: 1
Ericsson AB;corporation;https://www.ericsson.com/;Ericsson är ett globalt telekomföretag som utvecklar och levererar infrastruktur för mobilnät, framför allt 5G, samt moln- och mjukvarulösningar för operatörer och stora företag. Företaget kombinerar hårdvara, mjukvaruplattformar och tjänster för att bygga och drifta högpresterande mobilnät över hela världen. Med hjälp av AI‑drivna verktyg för nätoptimering, automation och energibesparing hjälper Ericsson kunder att öka kapacitet, minska kostnader och förbereda sig för nästa generations uppkopplade tjänster.;Telekom & nätverk – 5G, moln & AI;100;5560566258;ERICSSON AB;;;164 80;STOCKHOLM;180;Stockholm;1;Stockholm;8;16;10000- anställda;1;Är verksam;49;Övriga aktiebolag;1983-09-17;1972-01-01;62010;Dataprogrammering;70100;Verksamheter som utövas av huvudkontor;2024;12;> 9 999 999 tkr;107190000;;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;J;corporation
Furhat Robotics AB;startup;https://www.furhatrobotics.com/;Furhat Robotics utvecklar sociala humanoida robotar som kombinerar konversations‑AI med ansiktsuttryck, blickkontakt och röstinteraktion. Plattformen används av forskare, företag och utbildningsaktörer för att bygga lösningar inom bland annat undervisning, kundmöten, klinisk träning och publik interaktion. Furhats öppna mjukvaruplattform och utvecklarverktyg gör det möjligt att skapa anpassade dialoger och beteenden, och används ofta i projekt där människa–robot‑interaktion står i centrum.;Robotik – Sociala robotar & konversations‑AI;100;5569640369;Furhat Robotics AB;;TORSGATAN 39;113 62;STOCKHOLM;180;Stockholm;1;Stockholm;1;3;5-9 anställda;1;Är verksam;49;Övriga aktiebolag;2014-03-18;2014-03-11;26200;Tillverkning av datorer och kringutrustning;     ;;2024;5;10 000 - 19 999 tkr;           ;info@furhatrobotics.com;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;J;startup
Ghostar Agency AB;supplier;https://www.ghostar.se/;Ghoststar Agency AB utvecklar moderna e-handels- och digitala lösningar baserade på MACH-principer. Med sin CLAIN-metodik (Copilot, Low code, AI-tools, No code) identifierar och löser de affärsbehov snabbt och kostnadseffektivt. Genom ett globalt nätverk av specialiserade frilansare kan de skala projekt utan onödig overhead. Bolaget erbjuder även AI-konsulter som stärker innovation, förändringsarbete och intraprenörskap i organisationer.;Digital‑ & IT‑konsulter (inkl. AI‑ och verktygsutveckling);100;5594455916;Ghostar Agency AB;GHOSTAR AGENCY AB;NORRA HAMNGATAN 6;411 14;GÖTEBORG;1480;Göteborg;14;Västra Götaland;1;1;0 anställda;1;Är verksam;49;Övriga aktiebolag;2023-10-16;2023-08-28;62010;Dataprogrammering;     ;;2024;4;5 000 - 9 999 tkr;;daniel@ghostar.se;0;Har aldrig varit registrerad som arbetsgivare;1;Är registrerad för moms;N;supplier
GNR8 AB;supplier;https://www.gnr8.se/;GNR8 är en Stockholmsbaserad AI‑konsultbyrå med fokus på generativ AI, rådgivning och förändringsledning. Bolaget erbjuder workshops, pilotprojekt och längre uppdrag där man hjälper organisationer att designa och införa AI‑lösningar som stödjer verksamhetens mål. På sin webb lyfter GNR8 särskilt arbetet med att få människor, processer och teknik att samspela i AI‑initiativ.;AI‑konsultbyrå (generativ AI & förändringsledning);100;5595004549;GNR8 AB;;KUNGSGATAN 8  2 TR;111 43;STOCKHOLM;180;Stockholm;1;Stockholm;1;2;1-4 anställda;1;Är verksam;49;Övriga aktiebolag;2024-10-21;2024-10-21;70220;Konsultverksamhet avseende företags organisation;62020;Datakonsultverksamhet;2024;1;1 - 499 tkr;;christoffer.rosenholm@gnr8.se;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;N;supplier
Greater Than AB;startup;https://greaterthan.eu/;Greater Than är ett insurtech‑bolag som använder AI för att analysera kördata och beräkna olycksrisk och klimatpåverkan för förare och fordonsflottor. Företagets plattform omvandlar GPS‑baserad körbeteendedata till risk‑ och kostnadsprofiler som kan användas av försäkringsbolag, mobilitetsaktörer och flottoperatörer för prissättning, skadeförebyggande åtgärder och hållbarhetsrapportering. Lösningen bygger på en egenutvecklad, patenterad AI‑motor som tränats på verklig kördata under många år.;Insurtech – Fordonsdata & riskanalys;100;5569652885;Greater Than AB;;KARLAVÄGEN 60  2TR;114 49;STOCKHOLM;180;Stockholm;1;Stockholm;1;5;20-49 anställda;1;Är verksam;49;Övriga aktiebolag;2014-07-15;2014-03-18;62030;Datordrifttjänster;     ;;2024;7;50 000 - 99 999 tkr;;info@greaterthan.eu;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;N;startup
Hopsworks AB;startup;https://www.hopsworks.ai/;Hopsworks utvecklar en data‑ och AI‑plattform med en avancerad feature store för maskininlärning. Plattformen fungerar som ett AI‑lakehouse där organisationer kan lagra, hantera och återanvända features för både batch‑ och realtidsmodeller, samt koppla ihop data pipelines, träning och modellserving. Målet är att göra det enklare att bygga skalbara ML‑lösningar genom central styrning av features, stöd för flera moln och integrationer mot vanliga data‑ och ML‑ekosystem.;Dataplattform – Feature store & MLOps;100;5590628987;Hopsworks AB;;ÅSÖGATAN 119;116 24;STOCKHOLM;180;Stockholm;1;Stockholm;1;5;20-49 anställda;1;Är verksam;49;Övriga aktiebolag;2018-02-13;2016-05-26;62010;Dataprogrammering;     ;;2024;5;10 000 - 19 999 tkr;732505883;jim@logicalclocks.com;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;J;startup
Imagimob AB;startup;https://www.imagimob.com/;Imagimob utvecklar en mjukvaruplattform för Edge AI och tinyML som gör det enklare att ta fram och driftsätta maskininlärningsmodeller i inbyggda enheter. Med DEEPCRAFT‑sviten kan utvecklare designa, träna och optimera modeller för exempelvis fordon, industri, hälsa och konsumentprodukter, samt konvertera modeller till effektiv kod för resursbegränsade hårdvaror. Bolaget fokuserar på att korta tiden från idé till färdig Edge‑lösning och erbjuder både verktyg och färdigtränade modeller.;AI‑mjukvara – Edge AI & tinyML;100;5569374092;Imagimob AB;;SVEAVÄGEN 17;111 57;STOCKHOLM;180;Stockholm;1;Stockholm;1;4;10-19 anställda;1;Är verksam;49;Övriga aktiebolag;2013-09-03;2013-07-23;71122;Teknisk konsultverksamhet inom industriteknik;     ;;2024;2;500 - 999 tkr;;info@magimob.com;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;J;startup
Mediatell AB;supplier;https://mediatell.se/;Mediatell är en AI‑byrå som utvecklar skräddarsydda AI‑lösningar för att hjälpa företag spara tid och pengar. På webbplatsen lyfts både färdiga system och kundspecifika projekt inom t.ex. automatisering av kundtjänst, interna processer och innehållsgenerering. Bolaget kombinerar teknisk utveckling med rådgivning kring hur AI kan integreras i befintliga arbetssätt.;AI‑byrå & utvecklingspartner;100;5594681818;MediaTell AB;;NORRA STORGATAN 6;252 20;HELSINGBORG;1283;Helsingborg;12;Skåne;1;2;1-4 anställda;1;Är verksam;49;Övriga aktiebolag;2024-02-19;2024-01-22;62020;Datakonsultverksamhet;     ;;2024;2;500 - 999 tkr;;info@mediatell.se;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;J;supplier
Neo4j Sweden AB;corporation;https://neo4j.com/;Neo4j utvecklar en grafdatabasplattform som lagrar data och relationer nativt för att möjliggöra avancerade frågor och analyser på starkt sammanlänkad data. Tekniken används för bland annat bedrägeridetektion, rekommendationssystem, kunskapsgrafer och som databaslager bakom AI‑lösningar och LLM:er. Neo4j erbjuder både molntjänster och egeninstallation, kompletterat med verktyg för analys, visualisering och utvecklarstöd.;Databaser – Grafdatabas & kunskapsgrafer;100;5567131106;Neo4j Sweden AB;;NORDENSKIÖLDSGATAN 24;211 19;MALMÖ;1280;Malmö;12;Skåne;1;7;100-199 anställda;1;Är verksam;49;Övriga aktiebolag;2007-05-08;2006-10-24;62010;Dataprogrammering;     ;;2024;10;1 000 000 - 4 999 999 tkr;;;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;J;corporation
Netlight Consulting AB;supplier;https://www.netlight.com/;Netlight är ett konsultbolag som hjälper ledande företag att lyckas med digital transformation – från strategi och rådgivning till utveckling och implementering. Konsulterna arbetar i affärskritiska projekt inom bland annat mjukvaruutveckling, data & analytics och AI, ofta i nära samarbete med kundens egna team. Fokus ligger på att kombinera teknisk expertis med affärsförståelse och en stark samarbetskultur för att skapa långsiktigt värde.;IT‑konsult – Digitalisering & data/AI;100;5565756227;Netlight Consulting AB;;REGERINGSGATAN 25  11TR;111 53;STOCKHOLM;180;Stockholm;1;Stockholm;2;9;500-999 anställda;1;Är verksam;49;Övriga aktiebolag;1999-11-12;1999-10-15;62010;Dataprogrammering;     ;;2024;10;1 000 000 - 4 999 999 tkr;86169940;legal@netlight.se;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;J;supplier
Nordic Artificial Intelligence Institute;supplier;https://www.nordicaiinstitute.com/;Nordic Artificial Intelligence Institute är ett svenskt bolag som enligt offentliga källor verkar inom naturvetenskaplig och teknisk forskning och utveckling, dataprogrammering och konsultverksamhet kopplat till AI. Bolagets beskrivning betonar digitalt hälsotech och media, där artificiell intelligens och mobil/social teknik används för att utveckla nya tjänster och produkter.;Forsknings‑ & utvecklingsbolag inom AI och digital hälsa;100;5590727185;Nordic Artificial Intelligence Institute AB;CHRISTIAN GUTTMANN;HAGAESPLANADEN 63;113 68;STOCKHOLM;180;Stockholm;1;Stockholm;1;1;0 anställda;1;Är verksam;49;Övriga aktiebolag;2016-09-13;2016-08-23;72190;Annan naturvetenskaplig och teknisk forskning och utveckling;62010;Dataprogrammering;2024;0;< 1 tkr;           ;guttmann.public@gmail.com;9;Är avregistrerad som arbetsgivare;1;Är registrerad för moms;N;supplier
Northridge Analytics AB;supplier;https://www.northridgeanalytics.com/;Northridge Analytics är ett konsultbolag inom data‑ och analys som hjälper företag att fatta bättre beslut baserat på insikter från data. Företaget kombinerar kompetens inom affärsutveckling, data analytics och design för att kartlägga kundresor, ta fram insikter och designa nya erbjudanden. Genom avancerad analys och ibland AI‑drivna metoder stöttar Northridge kunder med allt från strategi till genomförande.;Data‑ & analyskonsulter (inkl. AI‑driven design och strategi);100;5592321086;Northridge Analytics AB;;Henriksdalsallén 35;120 71;STOCKHOLM;180;Stockholm;1;Stockholm;1;2;1-4 anställda;1;Är verksam;49;Övriga aktiebolag;2020-02-24;2019-12-23;70220;Konsultverksamhet avseende företags organisation;74101;Industri- och produktdesignverksamhet ;2024;3;1 000 - 4 999 tkr;;johnwernfeldt@hotmail.com;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;N;supplier
Predli Consulting AB;supplier;https://www.predli.com/;Predli Consulting är ett internationellt inriktat konsultbolag som hjälper kunder att omsätta AI och annan framväxande teknik till konkret affärsnytta. Bolaget erbjuder bland annat tech‑strategi, teknisk due diligence, utvecklingsprojekt och masterclasses kring AI, data och automation. Genom ett globalt nätverk av experter stöttar Predli både etablerade företag och nya ventures i att bygga och skala lösningar.;Expertkonsultbolag inom emerging tech & AI;100;5594638271;Predli Consulting AB;;BOX 190;101 23;STOCKHOLM;180;Stockholm;1;Stockholm;1;2;1-4 anställda;1;Är verksam;49;Övriga aktiebolag;2024-02-26;2023-12-27;62010;Dataprogrammering;     ;;2024;4;5 000 - 9 999 tkr;;contact@predli.com;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;N;supplier
Privasea AB;startup;https://www.privasea.tech/;Privasea bygger infrastruktur för integritetsbevarande beräkningar och decentraliserad AI. Företaget fokuserar på fullt homomorf kryptering (FHE) och lösningar där data kan analyseras och användas i maskininlärningsmodeller utan att rådata lämnar användaren eller bryter mot dataskyddsregler. Genom sitt nätverk och bibliotek vill Privasea göra avancerad kryptering tillgänglig för både web2‑ och web3‑aktörer och möjliggöra nya typer av säkra AI‑tillämpningar.;Privacy‑tech – Kryptering & decentraliserad AI;100;5593610941;Privasea AB;;LINHOLMSHAMNEN 13;417 56;GÖTEBORG;1480;Göteborg;14;Västra Götaland;1;2;1-4 anställda;1;Är verksam;49;Övriga aktiebolag;2022-02-28;2022-01-24;62010;Dataprogrammering;     ;;2024;3;1 000 - 4 999 tkr;;;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;N;startup
Rerun Technologies AB;startup;https://rerun.io/;Rerun utvecklar ett öppet verktyg för visuell och tidsbaserad felsökning av komplexa AI‑ och robotsystem. Med Reruns SDK kan utvecklare logga multimodal data som bilder, punktmoln, sensordata och modellprediktioner och sedan utforska dem över tid i en interaktiv viewer. Plattformen används bland annat inom robotik och datorseende för att förstå hur systemet ”ser” världen, hitta fel, förbättra algoritmer och kommunicera resultat till team och intressenter.;Developer tools – Datavisualisering & debugging;100;5593648644;Rerun Technologies AB;A HOUSE;STADSGÅRDEN 6;116 45;STOCKHOLM;180;Stockholm;1;Stockholm;1;2;1-4 anställda;1;Är verksam;49;Övriga aktiebolag;2022-03-21;2022-02-14;62010;Dataprogrammering;     ;;2024;0;< 1 tkr;;moritz@rerun.io;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;J;startup
Smart Eye Aktiebolag (publ);corporation;https://www.smarteye.se/;Smart Eye är ett börsnoterat svenskt AI‑bolag som utvecklar eye‑tracking‑ och Human Insight‑lösningar för fordonsindustrin och forskning. Företagets teknik används bland annat för förarövervakning, beteendeanalys och användarstudier genom att med AI tolka blick, ansiktsuttryck och huvudrörelser. Smart Eye levererar både inbyggd mjukvara till fordonstillverkare och analysplattformar till exempelvis flyg, marknadsföring och akademisk forskning.;AI‑produktbolag (eye‑tracking & Human Insight AI);100;5565758371;Smart Eye Aktiebolag (publ);;MASTHAMNSGATAN 3  VÅN 3;413 29;GÖTEBORG;1480;Göteborg;14;Västra Götaland;1;8;200-499 anställda;1;Är verksam;49;Övriga aktiebolag;2000-02-14;1999-09-17;62010;Dataprogrammering;     ;;2024;8;100 000 - 499 999 tkr;;info@smarteye.se;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;J;corporation
Storykit AB;startup;https://storykit.io/;Storykit utvecklar en molnbaserad plattform för automatiserad videoproduktion som gör det möjligt för marknads‑, kommunikations‑ och HR‑team att skapa stora volymer video utan traditionell redigering. Genom att utgå från text och befintligt innehåll genererar verktyget videor anpassade för olika kanaler, kompletterat med funktioner för varumärkesstyrning, skalbarhet och AI‑stöd för bland annat röst och översättning. Plattformen används för allt från kampanjer till internkommunikation.;SaaS – Videoautomation & innehållsproduktion;100;5569808404;Storykit AB;;TULEGATAN 4;113 53;STOCKHOLM;180;Stockholm;1;Stockholm;1;6;50-99 anställda;1;Är verksam;49;Övriga aktiebolag;2014-10-14;2014-09-02;74102;Grafisk designverksamhet;     ;;2024;7;50 000 - 99 999 tkr;87364000;finance@storykit.io;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;N;startup
Substorm AB;supplier;https://substorm.ai/;Substorm är ett konsult‑ och techbolag med fokus på intelligent automation och tillämpad AI. Bolaget hjälper organisationer att identifiera processer som lämpar sig för automatisering och att bygga skalbara AI‑lösningar, ofta i gränslandet mellan RPA, maskininlärning och generativ AI. På webbplatsen lyfts bland annat projekt där Substorm tar fram branschspecifika generativa modeller och lösningar som ger direkt affärsvärde.;Konsult‑ & techbolag inom intelligent automation och tillämpad AI;100;5592057466;Substorm AB;;HAMNGATAN 40;941 32;PITEÅ;2581;Piteå;25;Norrbotten;1;3;5-9 anställda;1;Är verksam;49;Övriga aktiebolag;2019-09-24;2019-05-20;70220;Konsultverksamhet avseende företags organisation;     ;;2024;5;10 000 - 19 999 tkr;; ;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;N;supplier
Subteal AB;supplier;https://subteal.com/;Subteal utvecklar skräddarsydda AI‑verktyg och mjukvarulösningar för företag, med fokus på att bygga långsiktiga, robusta system snarare än enkla prototyper. Bolaget kombinerar kompetens inom mjukvaruutveckling, dataplattformar och moderna AI‑modeller för att skapa verktyg som passar in i kundernas befintliga miljöer. Tjänsterna spänner från rådgivning och arkitektur till design och implementation av hela lösningar.;AI‑konsultbolag & mjukvaruutveckling;100;5595306746;Subteal AB;RASMUS LIAN;MARMORGATAN 11;118 67;STOCKHOLM;180;Stockholm;1;Stockholm;1;2;1-4 anställda;1;Är verksam;49;Övriga aktiebolag;2025-05-19;2025-05-19;62010;Dataprogrammering;     ;;;0;;;hello@subteal.com;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;N;supplier
Teneo AI AB;startup;https://www.teneo.ai/;Teneo AI utvecklar en enterprise‑plattform för Agentic AI som automatiserar kunddialoger i kontaktcenter via röst och text. Plattformen kombinerar konversations‑AI och stora språkmodeller för att förstå kundernas ärenden, lösa en hög andel av frågorna automatiskt och sömlöst eskalera till mänskliga agenter vid behov. Lösningarna är utformade för reglerade branscher med fokus på säkerhet, integritet och spårbarhet, och används av globala telekom‑ och tjänstebolag.;Enterprise‑plattform för Agentic AI & röst‑/kontaktcenterlösningar;100;5568402076;Teneo AI AB;;SVÄRDVÄGEN 21;182 33;DANDERYD;180;Stockholm;1;Stockholm;1;1;0 anställda;1;Är verksam;49;Övriga aktiebolag;2011-03-01;2011-02-08;62010;Dataprogrammering;     ;;2024;5;10 000 - 19 999 tkr;;fredrik.torgren@teneo.ai;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;N;startup
Tenfifty AB;supplier;https://tenfifty.io/;Tenfifty är ett svenskt AI‑specialistbolag med över 20 års erfarenhet av att bygga skräddarsydda lösningar för prediktion, optimering och automation. Bolaget arbetar mycket inom MedTech och hälso‑ och sjukvård men även mot andra branscher där data används för att förutse beteenden, risker och utfall. Tenfifty erbjuder både utvecklingsprojekt, rådgivning och mentorskap för team som vill skala upp sitt AI‑arbete.;AI‑specialistbolag (skräd darsydda lösningar, särskilt inom MedTech & industri);100;5569761793;Tenfifty AB;;KRONHUSGATAN 7;411 05;GÖTEBORG;1480;Göteborg;14;Västra Götaland;1;5;20-49 anställda;1;Är verksam;49;Övriga aktiebolag;2014-09-16;2014-07-08;62020;Datakonsultverksamhet;62010;Dataprogrammering;2024;6;20 000 - 49 999 tkr;761919291;anders.bjurstrom@tenfifty.io;1;Är registrerad som vanlig arbetsgivare;1;Är registrerad för moms;N;supplier
